Symbol,Company Name,Market Cap,Stock Price,Revenue
OTEX,Open Text Corporation,8.64B,32.59,5.77B
CROX,"Crocs, Inc.",8.59B,144.69,4.06B
VFS,VinFast Auto Ltd.,8.56B,3.66,1.37B
WYNN,"Wynn Resorts, Limited",8.51B,77.37,7.11B
DSGX,The Descartes Systems Group Inc.,8.51B,99.50,587.67M
ENSG,"The Ensign Group, Inc.",8.40B,148.07,3.97B
APPF,"AppFolio, Inc.",8.32B,229.46,722.08M
CZR,"Caesars Entertainment, Inc.",8.28B,38.29,11.39B
AMKR,"Amkor Technology, Inc.",8.22B,33.37,6.40B
RGEN,Repligen Corporation,8.22B,146.80,602.35M
MKSI,"MKS Instruments, Inc.",8.19B,121.68,3.58B
CBSH,"Commerce Bancshares, Inc.",8.18B,63.48,1.58B
PARAA,Paramount Global,8.10B,24.20,29.27B
SOFI,"SoFi Technologies, Inc.",8.02B,7.52,2.34B
ASND,Ascendis Pharma A/S,8.01B,139.68,354.97M
AGNC,AGNC Investment Corp.,7.97B,10.19,514.00M
HALO,"Halozyme Therapeutics, Inc.",7.95B,62.72,873.30M
DBX,"Dropbox, Inc.",7.92B,24.33,2.53B
FSV,FirstService Corporation,7.91B,175.72,4.65B
WFRD,Weatherford International plc,7.90B,108.01,5.44B
ITCI,"Intra-Cellular Therapies, Inc.",7.87B,74.48,564.53M
MTSI,"MACOM Technology Solutions Holdings, Inc.",7.72B,107.00,679.24M
CRUS,"Cirrus Logic, Inc.",7.72B,144.52,1.85B
ALTR,Altair Engineering Inc.,7.67B,90.41,627.21M
AAON,"AAON, Inc.",7.66B,94.55,1.19B
MIDD,The Middleby Corporation,7.64B,142.05,3.91B
LSXMK,The Liberty SiriusXM Group,7.60B,23.26,8.90B
LSXMB,The Liberty SiriusXM Group,7.59B,23.15,8.90B
LSXMA,The Liberty SiriusXM Group,7.59B,23.24,8.90B
UFPI,"UFP Industries, Inc.",7.59B,125.02,6.89B
TLN,Talen Energy Corporation,7.59B,148.80,2.11B
PARA,Paramount Global,7.57B,11.36,29.27B
IEP,Icahn Enterprises L.P.,7.56B,15.89,10.28B
PNFP,"Pinnacle Financial Partners, Inc.",7.53B,98.39,1.49B
DRS,"Leonardo DRS, Inc.",7.49B,28.42,3.07B
GTLB,GitLab Inc.,7.47B,46.98,622.22M
SPSC,"SPS Commerce, Inc.",7.45B,198.36,583.80M
LNTH,"Lantheus Holdings, Inc.",7.44B,107.16,1.44B
ACHC,"Acadia Healthcare Company, Inc.",7.42B,79.91,3.06B
AUR,"Aurora Innovation, Inc.",7.40B,4.30,-
EXEL,"Exelixis, Inc.",7.38B,25.88,2.01B
ZION,"Zions Bancorporation, National Association",7.37B,49.91,2.96B
WSC,WillScot Holdings Corporation,7.34B,38.93,2.41B
CIGI,Colliers International Group Inc.,7.31B,145.40,4.43B
RVMD,"Revolution Medicines, Inc.",7.29B,43.64,742.00K
BPOP,"Popular, Inc.",7.20B,99.50,2.60B
GNTX,Gentex Corporation,7.19B,31.21,2.33B
VKTX,"Viking Therapeutics, Inc.",7.16B,64.63,-
WTFC,Wintrust Financial Corporation,7.16B,107.65,2.22B
FYBR,"Frontier Communications Parent, Inc.",7.13B,28.62,5.80B
JAZZ,Jazz Pharmaceuticals plc,7.03B,113.87,3.91B
LBTYB,Liberty Global Ltd.,7.01B,19.79,7.59B
LBTYK,Liberty Global Ltd.,7.01B,19.46,7.59B
GGAL,Grupo Financiero Galicia S.A.,6.96B,34.68,6.47B
NSIT,"Insight Enterprises, Inc.",6.95B,213.39,9.04B
GRFS,"Grifols, S.A.",6.90B,8.58,7.30B
CFLT,"Confluent, Inc.",6.89B,21.36,865.59M
LBTYA,Liberty Global Ltd.,6.88B,18.84,7.59B
IONS,"Ionis Pharmaceuticals, Inc.",6.86B,46.92,813.46M
AAL,American Airlines Group Inc.,6.82B,10.39,53.45B
CCCS,CCC Intelligent Solutions Holdings Inc.,6.82B,10.94,909.60M
HCP,"HashiCorp, Inc.",6.82B,33.90,605.73M
CGNX,Cognex Corporation,6.81B,39.69,844.00M
LFUS,"Littelfuse, Inc.",6.77B,273.15,2.23B
CYTK,"Cytokinetics, Incorporated",6.74B,57.32,3.13M
FRPT,"Freshpet, Inc.",6.73B,138.84,875.14M
BOKF,BOK Financial Corporation,6.73B,104.89,1.98B
LSTR,"Landstar System, Inc.",6.69B,188.61,4.90B
CVLT,"Commvault Systems, Inc.",6.67B,152.62,865.77M
HQY,"HealthEquity, Inc.",6.67B,76.62,1.04B
MAT,"Mattel, Inc.",6.65B,19.55,5.43B
SAIC,Science Applications International Corporation,6.64B,129.56,7.26B
NOVT,Novanta Inc.,6.59B,183.54,899.85M
LSCC,Lattice Semiconductor Corporation,6.58B,47.78,627.66M
ALAB,"Astera Labs, Inc.",6.54B,41.77,229.55M
NVMI,Nova Ltd.,6.48B,223.01,561.68M
REYN,Reynolds Consumer Products Inc.,6.45B,30.70,3.71B
VRNS,"Varonis Systems, Inc.",6.42B,57.27,520.78M
MASI,Masimo Corporation,6.38B,119.94,2.02B
ETSY,"Etsy, Inc.",6.36B,55.40,2.77B
BZ,Kanzhun Limited,6.26B,14.18,883.35M
ONB,Old National Bancorp,6.25B,19.58,1.73B
CWST,"Casella Waste Systems, Inc.",6.23B,107.10,1.43B
BILI,Bilibili Inc.,6.19B,14.94,3.30B
HLNE,Hamilton Lane Incorporated,6.14B,151.45,625.54M
CHX,ChampionX Corporation,6.08B,31.94,3.70B
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",6.05B,98.89,2.15B
NXT,Nextracker Inc.,6.04B,42.11,2.74B
CRDO,Credo Technology Group Holding Ltd,6.02B,36.45,192.97M
PEGA,Pegasystems Inc.,6.00B,70.22,1.49B
BPMC,Blueprint Medicines Corporation,5.99B,94.55,362.80M
COOP,Mr. Cooper Group Inc.,5.98B,92.76,2.13B
RCM,R1 RCM Inc.,5.93B,14.04,2.38B
TMDX,"TransMedics Group, Inc.",5.86B,175.66,358.76M
EXLS,"ExlService Holdings, Inc.",5.85B,36.27,1.71B
GLBE,Global-E Online Ltd.,5.83B,34.91,632.89M
CACC,Credit Acceptance Corporation,5.83B,480.97,815.20M
KRYS,"Krystal Biotech, Inc.",5.79B,201.58,166.23M
VERX,"Vertex, Inc.",5.76B,37.06,617.83M
FRHC,Freedom Holding Corp.,5.69B,93.75,1.16B
QXO,"QXO, Inc.",5.69B,13.90,57.11M
BECN,"Beacon Roofing Supply, Inc.",5.61B,90.60,9.47B
BCPC,Balchem Corporation,5.60B,172.74,932.39M
NXST,"Nexstar Media Group, Inc.",5.53B,171.55,4.99B
NUVL,"Nuvalent, Inc.",5.53B,85.32,-
MARA,"Marathon Digital Holdings, Inc.",5.50B,18.69,564.95M
MDGL,"Madrigal Pharmaceuticals, Inc.",5.49B,252.74,14.64M
ACT,"Enact Holdings, Inc.",5.48B,35.20,1.19B
ALGM,"Allegro MicroSystems, Inc.",5.47B,24.99,937.99M
SRCL,"Stericycle, Inc.",5.46B,58.86,2.63B
SIGI,"Selective Insurance Group, Inc.",5.46B,89.80,4.55B
OPCH,"Option Care Health, Inc.",5.44B,31.83,4.59B
MMSI,"Merit Medical Systems, Inc.",5.43B,93.29,1.30B
EXPO,"Exponent, Inc.",5.39B,106.26,508.47M
CRVL,CorVel Corporation,5.39B,314.57,816.78M
FCFS,"FirstCash Holdings, Inc.",5.30B,118.52,3.31B
SATS,EchoStar Corporation,5.30B,19.52,16.24B
DOOO,BRP Inc.,5.25B,71.58,7.25B
COLB,"Columbia Banking System, Inc.",5.23B,24.97,1.85B
RARE,Ultragenyx Pharmaceutical Inc.,5.23B,56.75,481.30M
UBSI,"United Bankshares, Inc.",5.22B,38.69,1.01B
AVAV,"AeroVironment, Inc.",5.20B,185.62,716.72M
FFIN,"First Financial Bankshares, Inc.",5.20B,36.61,496.90M
ACIW,"ACI Worldwide, Inc.",5.18B,49.48,1.53B
TPG,TPG Inc.,5.17B,50.21,2.71B
XRAY,DENTSPLY SIRONA Inc.,5.13B,25.31,3.90B
RNA,"Avidity Biosciences, Inc.",5.10B,43.52,10.60M
UMBF,UMB Financial Corporation,5.07B,104.08,1.49B
CSWI,"CSW Industrials, Inc.",5.05B,325.18,815.66M
RMBS,Rambus Inc.,5.02B,46.65,477.53M
ASTS,"AST SpaceMobile, Inc.",4.98B,32.86,1.40M
OZK,Bank OZK,4.94B,43.51,1.42B
TENB,"Tenable Holdings, Inc.",4.93B,41.35,852.04M
COLM,Columbia Sportswear Company,4.90B,83.74,3.39B
APLS,"Apellis Pharmaceuticals, Inc.",4.88B,40.11,628.79M
AVT,"Avnet, Inc.",4.87B,55.30,23.76B
RDNT,"RadNet, Inc.",4.81B,65.00,1.71B
RUN,Sunrun Inc.,4.81B,21.50,2.06B
LYFT,"Lyft, Inc.",4.79B,11.68,5.10B
ESGR,Enstar Group Limited,4.79B,326.60,1.13B
LANC,Lancaster Colony Corporation,4.78B,173.51,1.87B
BBIO,"BridgeBio Pharma, Inc.",4.76B,25.31,219.12M
EEFT,"Euronet Worldwide, Inc.",4.75B,105.72,3.80B
IMVT,"Immunovant, Inc.",4.75B,32.42,-
NVEI,Nuvei Corporation,4.72B,33.22,1.31B
BGC,"BGC Group, Inc.",4.72B,9.70,2.05B
SLM,SLM Corporation,4.71B,21.65,1.68B
FELE,"Franklin Electric Co., Inc.",4.69B,102.74,2.02B
DYN,"Dyne Therapeutics, Inc.",4.67B,46.53,-
OS,"OneStream, Inc.",4.63B,29.60,406.39M
QLYS,"Qualys, Inc.",4.60B,125.06,581.08M
ALKS,Alkermes plc,4.60B,27.95,1.51B
PI,"Impinj, Inc.",4.60B,163.67,314.98M
TSEM,Tower Semiconductor Ltd.,4.60B,41.43,1.39B
VRRM,Verra Mobility Corporation,4.59B,27.85,853.10M
ITRI,"Itron, Inc.",4.58B,101.96,2.35B
TIGO,Millicom International Cellular S.A.,4.57B,26.68,5.84B
CNXC,Concentrix Corporation,4.57B,69.95,8.65B
BRZE,"Braze, Inc.",4.56B,44.86,505.48M
FIVE,"Five Below, Inc.",4.54B,82.46,3.64B
HWC,Hancock Whitney Corporation,4.53B,52.46,1.30B
VLY,Valley National Bancorp,4.53B,8.89,1.65B
IAC,IAC Inc.,4.47B,51.96,4.05B
PECO,"Phillips Edison & Company, Inc.",4.47B,36.45,629.74M
CAMT,Camtek Ltd.,4.44B,97.97,368.76M
DJT,Trump Media & Technology Group Corp.,4.44B,22.81,3.43M
WAY,Waystar Holding Corp.,4.40B,26.39,863.29M
SHC,Sotera Health Company,4.37B,15.42,1.10B
VNOM,"Viper Energy, Inc.",4.34B,47.41,878.51M
CRSP,CRISPR Therapeutics AG,4.31B,48.69,202.23M
FIZZ,National Beverage Corp.,4.29B,45.84,1.19B
