News1,News2,News3,News4,News5
"Lightning Round: Chipotle is likely done going down, says Jim Cramer",Cramer’s Lightning Round: Builders FirstSource ‘can go higher’,"Ride out future market volatility with all-weather stocks, Bank of America says",Evercore ISI Reaffirms Their Buy Rating on Vertex Pharmaceuticals (VRTX),Vertex Pharmaceuticals: A Cautious Hold Amidst Mixed Financial Signals and Pipeline Uncertainty
Wednesday’s stock stories: What’s likely to move the market in the next session,"Three-Stock Lunch: Boeing, Micron, Redfin","Stocks making the biggest moves midday: Cleanspark, Vaxcyte, Unity Software and more","Dow closes 600 points lower to begin September, S&P 500 drops 2%",Morgan Stanley is bullish on 3 stocks from a corner of the semiconductor sector
"Palo Alto CEO on CrowdStrike fallout, IBM deal and cybersecurity issues",These stocks typically have the best and worst Septembers,Jim Cramer’s top 10 things to watch in the stock market Wednesday,Can tech stocks go up with rates coming down? Here’s why we think so,It’s been nearly a year since we took profits in Lilly. We’re due for another trim
These stocks have the most riding on Nvidia’s results with highest correlation,"Retail earnings lift other boats — plus, stocks take negative jobs update in stride","Stocks making the biggest moves midday: Target, JD.com, Macy’s and more","S&P 500, Nasdaq close higher as Fed minutes lift investors’ hopes for a September rate cut","Why we’ve raised cash into the rally — plus, earnings insights on 2 of our stocks"
"Lightning Round: Buy Lam Research slowly, not all at once",Cramer’s Lightning Round: ‘I like’ GE Vernova,Trade Tracker: Stephanie Link trims Lam Research,Lam Research Appoints New Board Members with Diverse Expertise,Unusually active option classes on open August 30th
Salesforce CEO explains how customers use new platform ‘Agentforce’,Jackson Hole technical trade: BTIG says these stocks are buys ahead of Powell speech,ADP price target raised to $285 from $250 at JPMorgan,NaN,NaN
"Stocks making the biggest moves midday: Intel, Nio, Broadcom and more",Wednesday’s stock stories: What’s likely to move the market in the next session,"Stocks making the biggest moves midday: Cleanspark, Vaxcyte, Unity Software and more","Dow closes 600 points lower to begin September, S&P 500 drops 2%",KLA Corp. raises quarterly dividend 17% to $1.70 from $1.45 per share
"88 corporate leaders endorse Harris, including CEOs of Yelp, Box","4 simple steps to ‘make yourself indispensable’ at work, says bestselling author",Best Buy is the stock of the summer — plus 2 more encouraging economic updates,These stocks outperformed in August. Here’s where they’re expected to go,Jim Cramer: Starbucks’ stock will shoot higher under incoming CEO Brian Niccol
Cantor Fitzgerald Internet analyst to hold an analyst/industry conference call,"MercadoLibre initiated with an Overweight, called a ‘Top Pick’ at Cantor","MercadoLibre price target raised to $2,350 from $2,300 at Susquehanna","MercadoLibre price target raised to $2,250 from $2,100 at Jefferies",StockTok: Meta revises limits on ad data to assuage CMA scrutiny
Gilead alleges it uncovered a drug-counterfeiting operation at 2 NYC pharmacies,Gilead Sciences: A Balanced Hold Rating Amidst Growth Potential and Market Challenges,Gilead price target raised to $74 from $72 at RBC Capital,Gilead Sciences (GILD) Gets a Hold from RBC Capital,Gilead put volume heavy and directionally bearish
"Likely policies under a Harris presidency and the stocks impacted, according to Jefferies",Cheap stocks to buy for the long term during the volatility,Turn to these dividend growers as the Fed cuts rates,"Jim Cramer prefers Mondelez over this food peer — plus, his take on 4 more stocks",Jim Cramer’s top 10 things to watch in the stock market Monday
This semiconductor ETF just had its worst week since 2020. Here’s what’s next,"Stocks making the biggest moves midday: Intel, Nio, Broadcom and more",Jim Cramer’s top 10 things to watch in the stock market Friday,Nvidia says it didn’t receive antitrust subpoena from DOJ,"Cramer says ‘don’t be a hero’ on Nvidia, downplays AI spending concerns and DOJ probe"
Jim Cramer says these 2 stocks show investors are nervous about Nvidia’s earnings,Cramer’s Stop Trading: Synopsys,Cramer looks at reasons for the market decline and provides new views on 3 stocks,Synopsys CEO on Q3 earnings,"This little-known chip design stock benefits from AI, Bank of America says"
"QQQ ETF Update, 9/6/2024 ","QQQ ETF Update, 9/4/2024 ","QQQ ETF Update, 8/29/2024 ","QQQ ETF Update, 8/27/2024 ","QQQ ETF Update, 8/23/2024 "
Turn to these dividend growers as the Fed cuts rates,"Equinix CFO Taylor sells 1,500 common shares","Equinix price target lowered to $900 from $1,000 at Argus",Equinix (EQIX) Receives a Hold from Morgan Stanley,Scotiabank Reaffirms Their Buy Rating on Equinix (EQIX)
Jim Cramer says these 2 stocks show investors are nervous about Nvidia’s earnings,"Novartis upgrade, Intel downgrade part of Erste global equity changes",Cadence Design downgraded to Hold from Buy at Erste Group,Cadence Design Strengthens Financial Strategy with New Credit Facility,"CDNS, DDOG, FSLR: Which Strong Buy-Rated Tech Stock’s a Better Buy?"
"Final Trades: CME Group, Chubb, Berkshire Hathaway and the IHI","S&P 500, Nasdaq snap eight-day winning streak as rebound rally pauses",Buy/Sell: Wall Street’s top 10 stock calls this week,"CME Group to launch options on BCOM futures on September 23, pending review",Analysts Have Conflicting Sentiments on These Financial Companies: Voya Financial (VOYA) and CME Group (CME)
"AI craze distorts VC market, as tech giants Microsoft and Amazon pour in billions",Take a look inside my oceanfront dream home in Puerto Rico: ‘Slice of paradise’,‘Travel is too expensive right now’: Americans spend less or skip trips altogether,Google IPO banker tracks two-decade journey from Silicon Valley upstart to $2 trillion,LVMH CEO Bernard Arnault’s family office goes shopping for AI startups
"Earn 5% cash back with PayPal’s debit card, even if you have bad credit","88 corporate leaders endorse Harris, including CEOs of Yelp, Box","Final Trades: Dell Technologies, CoStar Group, Johnson & Johnson and PayPal Holdings","The Committee’s Comeback Kids: Trade Desk, Sweetgreen, Natera, Samsara, PayPal and Leidos","Buy now, pay later firm Klarna swings to first-half profit ahead of IPO"
Dell and Palantir to join S&P 500; shares of both jump,"These five stocks are best positioned for growth, Goldman Sachs says","Final Trades: Workday, TransDigm and Louisiana Pacific",Workday stock gains as software provider widens 2027 margin target,"Stocks making the biggest moves midday: Cava, Intuit, Ross Stores and more"
Dell and Palantir to join S&P 500; shares of both jump,A September trading strategy from Goldman that nets an 18% return on average,Cramer names No. 1 underappreciated megacap to buy in recent tech stock sell-off,"We like Apple for its sustained business model, not its AI story","These five stocks are best positioned for growth, Goldman Sachs says"
Thursday’s stock stories: What’s likely to move the market in the next session,CSX President and Chief Executive Officer to Address Morgan Stanley Laguna Conference,North American rail traffic up 5.2% for the week ending August 31,CSX Expands Labor Agreements with Two More Partners,North American rail traffic up 1.3% for the week ending August 24
"Ride out future market volatility with all-weather stocks, Bank of America says",O’Reilly Auto’s Resilient Model and Growth Potential Bolster Buy Rating,TD Cowen Reaffirms Their Buy Rating on O’Reilly Auto (ORLY),Analysts Offer Insights on Consumer Cyclical Companies: Toll Brothers (TOL) and O’Reilly Auto (ORLY),Morgan Stanley Sticks to Their Hold Rating for O’Reilly Auto (ORLY)
"NXP Semiconductors, VIS establish VSMC joint venture",VIS and NXP Announce Establishment of VSMC Joint Venture,"NXP Semiconductors announces dividend of $1.014 p/s, $2B share repurchase",NXP Semiconductors Announces Quarterly Dividend and Additional Share Repurchase Authorization,Analog Devices price target lowered to $255 from $260 at BofA
"Thursday’s top analyst calls: Nvidia, Apple, Tesla, Marriott, CrowdStrike","Thursday’s analyst calls: Cava gets a downgrade, Apple a top AI pick",Watch CNBC’s full interview with Hyatt CEO Mark Hoplamazian,‘Travel is too expensive right now’: Americans spend less or skip trips altogether,Travelers are finally cracking under the pressure of high costs
"Stocks making the biggest moves midday: Intel, Nio, Broadcom and more",Why Broadcom stock is tumbling after an earnings beat — and how to play the dip,"S&P 500 tumbles Friday to post worst week since 2023, Nasdaq drops 2% for worst week since 2022",Small-cap portfolio manager says these stocks will thrive in slow growth environment,S&P 500 books back-to-back losses as Wall Street grapples with a rocky start to September
Small nuclear reactors could power the future — the challenge is getting one built,Why the U.S. is pumping more oil than any country in history,Wednesday’s stock stories: What’s likely to move the market in the next session,Morgan Stanley Wealth Management adds this utilities play to dividend portfolio,AI demand could strain electrical grid in coming decade
Roper Technologies to present at Goldman Sachs technology conference,"IntelliTrans expands office footprint in Conway, Arkansas",Truist Financial Sticks to Its Buy Rating for Roper Technologies (ROP),"Roper Technologies Prices Public Offering Of $500 Million Senior Unsecured Notes Due 2029, $500 Million Senior Unsecured Notes Due 2032, $1 Billion Senior Unsecured Notes Due 2034",Roper Technologies price target raised to $635 from $625 at Jefferies
"We like Apple for its sustained business model, not its AI story","Palo Alto Networks finally gets back on track — delivering solid earnings, outlook",Palo Alto Networks bet big on bundling. Investors want more proof it’s working,"Walmart, Starbucks among the most overbought stocks due for a pullback","QQQ ETF Update, 9/6/2024 "
"Tuesday’s top analyst calls: Nvidia, Apple, Broadcom, Boeing, IBM, Meta, Uber","Autodesk is ‘fully aligned with Starboard’ that there is more value to come, says CEO Anagnost",Dow Jones notches another record close,"Calls of the Day: Autodesk, Uber, D.R. Horton, Constellation Brands and Chipotle","Analyst calls: Oil giant to surge more than 35%, Planet Fitness a top pick"
"Ulta misses expectations, trims guidance after quarterly sales decline",Costco may have another winner after its gold bar success: gift cards,"Evercore ISI’s Mark Mahaney on his new top internet stock picks: Amazon, Doordash, Uber",Andreas Halvorsen’s Viking Global poured money into tech last quarter,Philippe Laffont’s Coatue entered into Paramount last quarter amid weakness
"Game On: Tencent, NetEase reconsidering Japan investments",Analysts Stay Bullish on NetEase After Q2 Results,"Dell, Marvell get AI boost to beat expectations: Morning Buzz","Tencent, NetEase reconsider Japan investment strategies, Bloomberg says",Jefferies Reaffirms Their Buy Rating on Netease Inc (9999)
Coinbase has worst week of the year as crypto stocks plummet,Jim Cramer’s top 10 things to watch in the stock market Friday,"Here are Friday’s biggest analyst calls: Nvidia, Nio, Apple, Tesla and more","Analyst calls: Broadcom earnings reaction, Chinese EV stock gets an upgrade",Super PAC backing Kamala Harris to accept crypto donations: CNBC Crypto World
AI demand could strain electrical grid in coming decade,This power provider has doubled as it charts a path for nuclear data centers,Tech companies hunt for nuclear power sparks backlash from some utilities,"QQQ ETF Update, 9/6/2024 ","QQQ ETF Update, 9/4/2024 "
"Analyst calls: Super Micro gets a downgrade, aluminum products stock to pop 20%",TJ Maxx’s owner is bringing its secret sauce to new countries — with a twist,These comeback kids have wiped out the August sell-off,One retailer is on a tear into earnings. How to trade it without chasing it,"Stocks making the biggest moves midday: Cava, Intuit, Ross Stores and more"
"Wednesday’s top analyst calls: Nvidia, Apple, Microsoft, Amazon and more","The Committee’s Comeback Kids: Trade Desk, Sweetgreen, Natera, Samsara, PayPal and Leidos",Trade Tracker: Josh Brown buys Trade Desk and Sweetgreen,"Stocks making the biggest moves midday: Sweetgreen, E.l.f. Beauty and more",Jim Cramer’s top 10 things to watch in the stock market Friday
"Stocks making the biggest moves premarket: C3.ai, Tesla, JetBlue and more","Stocks making the biggest moves after hours: C3.ai, Topgolf Callaway and more",Barrington Reaffirms Their Hold Rating on Copart (CPRT),Copart price target lowered to $56 from $58 at Baird,Closing Bell Movers: C3.ai falls 16% with guidance unchanged despite Q1 beat
Paccar price target lowered to $100 from $106 at Citi,NaN,NaN,NaN,NaN
"NFL’s next big media rights payday is years off, subject to shifting industry","YES Network, MSG Networks to launch combined New York regional sports app",DirecTV is pushing its pay TV bundle — without a satellite dish,MoffettNathanson says Frontier deal implications ‘mixed’ for Verizon competitors,Charter and AMC Networks to renew distribution agreement
Evercore ISI Remains a Hold on Keurig Dr Pepper (KDP),BRC Inc. announces distribution pact with Keurig Dr Pepper for energy beverages,"Keurig Dr Pepper, SUM announce new multi-year partnership with FMF",NaN,NaN
"Lightning Round: ARM is a great stock to buy, says Jim Cramer",Cramer’s Lightning Round: Paychex is a buy,"QQQ ETF Update, 9/6/2024 ","QQQ ETF Update, 9/4/2024 ","QQQ ETF Update, 8/29/2024 "
Monster Beverage Board Authorizes New $500.0 Million Share Repurchase Program,Monster Beverage announces new $500M share repurchase program,Monster Beverage call volume above normal and directionally bullish,"Analysts Offer Insights on Consumer Goods Companies: Monster Beverage (MNST), Bj’s Wholesale Club Holdings (BJ) and Target (TGT)",Monster Beverage price target lowered to $50 from $56 at Roth MKM
These stocks have the most riding on Nvidia’s results with highest correlation,"Monolithic Power price target raised to $1,100 from $925 at TD Cowen",Analysts’ Opinions Are Mixed on These Technology Stocks: Monolithic Power (MPWR) and Texas Instruments (TXN),NaN,NaN
"Stocks making the biggest moves after hours: Toll Brothers, Keysight and more","Friday’s top analyst calls: Nvidia, Tesla, Microsoft, Alphabet, Fox, Walmart, Nike","Stocks making the biggest moves premarket: H&R Block, Applied Materials, Microchip",Friday analyst calls: Media and entertainment companies take focus of upgrades,Microchip (MCHP) Receives a Buy from Citi
Friday’s stock stories: What’s likely to move the market in the next session,"Stocks making biggest moves midday: JetBlue, Tesla, G-III Apparel and more",Old Dominion price target lowered to $189 from $193 at JPMorgan,Old Dominion price target lowered to $206 from $210 at BofA,Mixed Performance Indicators Inform Hold Rating for Old Dominion Freight
Morningstar’s Dave Sekera shares his top value stock picks,Berkshire Hathaway’s new stock pick Ulta Beauty is a classic value buy,Cheap stocks to buy for the long term during the volatility,"These dividend payers will beat yields on cash as the Fed cuts rates, BofA says",Kraft Heinz: Hold Rating Amidst Challenging Market Conditions and Pursuit of Growth Strategies
StockTok: DOJ vows to stop pressuring social media companies to censor content,Atlassian-unit Loom acquires AI-powered virtual meeting firm Rewatch,NaN,NaN,NaN
Friday’s big stock stories: What’s likely to move the market in the next trading session,Arch Capital initiated with an Equal Weight at Barclays,Arch Capital Group Welcomes New Board Members,Arch Capital price target raised to $125 from $110 at Roth MKM,Roth MKM Reaffirms Their Buy Rating on Arch Capital Group (ACGL)
"Final Trade: ET, META, JBLU & NDAQ",Cramer’s Stop Trading: Nasdaq,"Wednesday’s top analyst calls: Nvidia, Apple, Microsoft, Amazon and more","Looking beyond the U.S.? One portfolio manager is bullish on India, names stocks",Wall Street wants to see Nvidia pull off a ‘Triple Lindy’ when it reports earnings
Buy Rating for Idexx Laboratories Amid Innovative Cancer Detection Product and Strong Financial Projections,Buy Rating Affirmed for Idexx Laboratories on Strong Growth and Innovation Prospects,Idexx Laboratories (IDXX) Gets a Hold from Piper Sandler,Idexx Laboratories: Holding Steady Amidst Challenges in Veterinary Industry,Buy Rating Affirmed for Idexx Laboratories Amid Operational Excellence and Growth Potential
"Lightning Round: KKR is ‘one of the best run companies in the world’, says Jim Cramer",Cramer’s Lightning Round: KKR is a ‘really great company’,DA Davidson technology analysts hold an analyst/industry conference call,"New Buy Rating for Datadog (DDOG), the Technology Giant","CDNS, DDOG, FSLR: Which Strong Buy-Rated Tech Stock’s a Better Buy?"
Alibaba to allow payment through Tencent’s WeChat Pay on e-commerce apps,Chinese consumer brands look to crack the global market with Singapore as a testbed,"A China stock bull earlier, fund manager explains why he has turned bearish now",Vance grilled on high cost of Trump’s new IVF plan,CNBC Daily Open: Everyone’s waiting for Nvidia
A September trading strategy from Goldman that nets an 18% return on average,China’s first global gaming hit sells millions. Its investor shares what’s next,Friday’s big stock stories: What’s likely to move the market in the next session,Stifel Nicolaus Sticks to Its Buy Rating for Electronic Arts (EA),"Game On: Tencent, NetEase reconsidering Japan investments"
"Lightning Round: Ring the register on AST SpaceMobile, says Jim Cramer",Fastenal reports August net sales down 2.3% to $652.66M,Fastenal initiated with an Equal Weight at Morgan Stanley,NaN,NaN
Cramer updates his takes on all 32 portfolio stocks and grades earnings reports,Buy Rating Affirmed for GE HealthCare Technologies on Innovation and Strong Financial Outlook,Brink’s announces Teteak as Brinks Business System leader,GE HealthCare collaborates with University of California’s CTIPM,"GE HealthCare exec Stacherski sells 19,008 common shares"
"Update: U.S. Insurance Industry Begins to See Surplus Recovery, Boosted by First Half Capital Gains and Signs of U.S. Property and Casualty Firms Inching Towards Stabilization","U.S. Insurance Industry Begins to See Surplus Recovery, Boosted by First Quarter Capital Gains and Signs of U.S. Property and Casualty Firms Inching Towards Stabilization",Verisk Analytics: A Balanced Hold Rating Amidst Growth and Market Risks,Verisk Analytics initiated with an Overweight at Wells Fargo,NaN
Cognizant price target raised to $89 from $82 at JPMorgan,Cognizant’s Solid Financials and Strategic Growth Initiatives Garner Buy Rating,Cognizant’s Hold Rating: A Balanced View Amidst Modest Growth and Acquisition Costs,"Illumina upgraded, Fiserv initiated: Wall Street’s top analyst calls",Cognizant price target raised to $82 from $81 at RBC Capital
This power provider has doubled as it charts a path for nuclear data centers,Tech companies hunt for nuclear power sparks backlash from some utilities,Exelon price target raised to $42 from $39 at Morgan Stanley,Exelon (EXC) Receives a Hold from Morgan Stanley,Exelon price target raised to $40 from $37 at Scotiabank
Coca-Cola CEO Sells Shares Worth Millions,Evercore ISI Reaffirms Their Buy Rating on Coca-Cola Europacific Partners (CCEP),Coca-Cola Europacific Partners Updates Share Count,Kepler Capital Keeps Their Hold Rating on Coca-Cola Europacific Partners (CCEP),Coca-Cola Europacific Exec Awarded Performance Shares
Super Micro Computer is among the most oversold names on the Street,"Stocks making the biggest moves midday: Intel, Nio, Broadcom and more",Jim Cramer’s top 10 things to watch in the stock market Friday,"Here are Friday’s biggest analyst calls: Nvidia, Nio, Apple, Tesla and more","Stocks making the biggest moves premarket: Bowlero, UiPath, Broadcom and more"
"Stocks making the biggest moves midday: Intel, Elastic NV, MongoDB and more",RBC Capital Sticks to Their Buy Rating for Alnylam Pharma (ALNY),Alnylam Pharma’s Vutrisiran Garners Strong Buy Rating Amidst Positive ATTR-CM Treatment Prospects,"Analysts Offer Insights on Healthcare Companies: Alnylam Pharma (ALNY), Viridian Therapeutics (VRDN) and Impedimed Limited (OtherIPDQF)",Stifel Nicolaus Sticks to Their Buy Rating for Alnylam Pharma (ALNY)
Baker Hughes reports U.S. rig count down 1 to 582 rigs,Baker Hughes announces leadership changes to continue strategic growth,Baker Hughes Announces Leadership Changes to Continue Strategic Growth and Customer Success  ,Baker Hughes reports U.S. rig count down 2 to 583 rigs,Seaport Research oilfield services analyst has analyst/industry conference call
Diamondback Energy price target lowered to $237 from $245 at Susquehanna,Morgan Stanley Remains a Buy on Diamondback (FANG),Piper Sandler Keeps Their Buy Rating on Diamondback (FANG),Diamondback Energy price target lowered to $240 from $249 at Piper Sandler,Diamondback Energy price target lowered to $230 from $231 at Wells Fargo
