Shares Number,Volume,Net Income,Dividends,Employee Amount,Previous Close,Analysts,Price Target,Earnings Date,Symbol,Company Name,Market Cap,Stock Price,Revenue,MA20,MA50,MA200,20-Day Percent Change,100-Day Percent Change,News1,News2,News3,News4,News5,combined_news,sentiment,Sentiment_News1,Sentiment_News2,Sentiment_News3,Sentiment_News4,Sentiment_News5
393.20M,"1,239,512",7.23B,$6.57,"42,416",907.26,Buy,"1,147.80","Oct 16, 2024",ASML,ASML Holding N.V.,360.37B,907.26,27.26B,0.68%,-7.04%,0.20%,-5.19%,-9.33%,"Stocks making the biggest moves midday: Intel, Nio, Broadcom and more","Here are Friday’s biggest analyst calls: Nvidia, Nio, Apple, Tesla and more","Dutch take on U.S. export controls, controlling shipments of some ASML machines","European stocks end week down 2.5%, worst since early August slump",U.S. rolls out new chip-related export controls as China makes industry advances,"Stocks making the biggest moves midday: Intel, Nio, Broadcom and more Here are Friday’s biggest analyst calls: Nvidia, Nio, Apple, Tesla and more Dutch take on U.S. export controls, controlling shipments of some ASML machines European stocks end week down 2.5%, worst since early August slump U.S. rolls out new chip-related export controls as China makes industry advances",1,1,1,1,1,1
429.16M,"1,302,657",7.09B,-1,"13,000",686.73,Buy,687.67,"Oct 16, 2024",NFLX,"Netflix, Inc.",294.72B,686.73,36.30B,7.02%,5.71%,19.15%,+8.83%,+7.49%,"Bill Gates wants to work another 20 to 30 years, like his friend Warren Buffett",Bill Gates says this is the No. 1 unsolvable problem facing today’s young people,NFL team sales are likely to stall as valuations soar,Rising NFL valuations mean massive returns for owners,"NFL’s next big media rights payday is years off, subject to shifting industry","Bill Gates wants to work another 20 to 30 years, like his friend Warren Buffett Bill Gates says this is the No. 1 unsolvable problem facing today’s young people NFL team sales are likely to stall as valuations soar Rising NFL valuations mean massive returns for owners NFL’s next big media rights payday is years off, subject to shifting industry",1,1,1,1,1,1
1.55B,"2,350,366",6.44B,$1.48,"89,900",86.66,Buy,88.80,"Jul 25, 2024",AZN,AstraZeneca PLC,268.01B,86.66,49.13B,5.33%,8.76%,21.74%,+10.37%,+29.52%,AstraZeneca says staff detained in China amid reports of drug-import investigation,India and Singapore agree to cooperate on chips as countries seek to strengthen partnership,India’s Modi expected to usher in new era of bilateral agreements in Singapore visit,Biden administration releases prices of 10 drugs in Medicare talks,These low-volatility stocks have a winning record and are attractively valued,AstraZeneca says staff detained in China amid reports of drug-import investigation India and Singapore agree to cooperate on chips as countries seek to strengthen partnership India’s Modi expected to usher in new era of bilateral agreements in Singapore visit Biden administration releases prices of 10 drugs in Medicare talks These low-volatility stocks have a winning record and are attractively valued,0,0,0,0,0,0
1.62B,"49,697,991",1.35B,-1,"26,000",154.98,Strong Buy,195.93,"Jul 30, 2024",AMD,"Advanced Micro Devices, Inc.",250.83B,154.98,23.28B,5.50%,-2.35%,-4.52%,+1.30%,-14.12%,This semiconductor ETF just had its worst week since 2020. Here’s what’s next,Why Broadcom stock is tumbling after an earnings beat — and how to play the dip,"S&P 500 tumbles Friday to post worst week since 2023, Nasdaq drops 2% for worst week since 2022","These are the top stocks to own for rest of the year, per Wolfe Research",CNBC Daily Open: Rate cuts need to start before inflation’s 2%,"This semiconductor ETF just had its worst week since 2020. Here’s what’s next Why Broadcom stock is tumbling after an earnings beat — and how to play the dip S&P 500 tumbles Friday to post worst week since 2023, Nasdaq drops 2% for worst week since 2022 These are the top stocks to own for rest of the year, per Wolfe Research CNBC Daily Open: Rate cuts need to start before inflation’s 2%",1,0,1,0,0,0
443.40M,"1,385,944",5.08B,-1,"29,945",558.30,Buy,599.31,"Sep 12, 2024",ADBE,Adobe Inc.,247.55B,558.30,20.43B,4.70%,4.01%,3.97%,+1.61%,+15.55%,"Cramer’s week ahead: iPhone 16 launch, consumer price index and Oracle earnings",The latest jobs report leaves stocks in a tough spot heading into the new week,"Chips get crushed, and clues in the jobs report for Modelo brewer Constellation","These are the top stocks to own for rest of the year, per Wolfe Research","Wednesday’s top analyst calls: Nvidia, Apple, Microsoft, Amazon and more","Cramer’s week ahead: iPhone 16 launch, consumer price index and Oracle earnings The latest jobs report leaves stocks in a tough spot heading into the new week Chips get crushed, and clues in the jobs report for Modelo brewer Constellation These are the top stocks to own for rest of the year, per Wolfe Research Wednesday’s top analyst calls: Nvidia, Apple, Microsoft, Amazon and more",0,0,0,0,0,1
1.37B,"3,437,038",9.52B,$5.42,"318,000",175.87,Buy,186.00,"Oct 8, 2024",PEP,"PepsiCo, Inc.",241.57B,175.87,92.05B,0.83%,3.49%,3.13%,+0.72%,+2.83%,"88 corporate leaders endorse Harris, including CEOs of Yelp, Box",How the Cowboys went from losing $1 million a month to topping the NFL in value,Beyond Meat to launch new steak alternative as it focuses on health,Jim Cramer expresses regret over BlackRock and gives his views on 3 other stocks,Delta chief operations officer departing for another company,"88 corporate leaders endorse Harris, including CEOs of Yelp, Box How the Cowboys went from losing $1 million a month to topping the NFL in value Beyond Meat to launch new steak alternative as it focuses on health Jim Cramer expresses regret over BlackRock and gives his views on 3 other stocks Delta chief operations officer departing for another company",1,1,0,1,1,0
1.17B,"2,467,115",9.46B,$2.60,"67,000",198.58,Strong Buy,196.11,"Jul 31, 2024",TMUS,"T-Mobile US, Inc.",231.70B,198.58,79.10B,5.95%,10.82%,22.06%,+10.49%,+25.01%,This ETF’s 2024 gains nearly match the Nasdaq Composite — with less volatility,Cramer says a carrier war could boost demand for the expected AI-enabled iPhone,These stocks outperformed in August. Here’s where they’re expected to go,Top Wall Street analysts are upbeat about the potential of these 3 stocks ,These low-volatility stocks have a winning record and are attractively valued,This ETF’s 2024 gains nearly match the Nasdaq Composite — with less volatility Cramer says a carrier war could boost demand for the expected AI-enabled iPhone These stocks outperformed in August. Here’s where they’re expected to go Top Wall Street analysts are upbeat about the potential of these 3 stocks  These low-volatility stocks have a winning record and are attractively valued,1,0,1,1,1,0
477.50M,"1,106,510",6.40B,$5.56,"66,323",465.74,Buy,487.10,"Oct 24, 2024",LIN,Linde plc,222.39B,465.74,32.82B,4.13%,5.96%,8.97%,+4.26%,+1.75%,"Wednesday’s rapid fire: Dollar Tree, Zscaler, Hormel Foods, Booking Holdings, Linde","Wednesday, August 28, 2024: Cramer says this industrial stock could be a ‘Harris trade’",Cramer updates his takes on all 32 portfolio stocks and grades earnings reports,Linde price target raised to $550 from $523 at Jefferies,Linde (LIN): New Sell Recommendation for This Basic Materials Giant,"Wednesday’s rapid fire: Dollar Tree, Zscaler, Hormel Foods, Booking Holdings, Linde Wednesday, August 28, 2024: Cramer says this industrial stock could be a ‘Harris trade’ Cramer updates his takes on all 32 portfolio stocks and grades earnings reports Linde price target raised to $550 from $523 at Jefferies Linde (LIN): New Sell Recommendation for This Basic Materials Giant",1,1,1,0,1,1
4.03B,"9,792,080",10.32B,$1.60,"84,900",50.74,Buy,56.06,"Aug 14, 2024",CSCO,"Cisco Systems, Inc.",204.42B,50.74,53.80B,6.42%,7.28%,4.39%,+2.89%,+2.68%,"Final Trades: Apple, Cisco, Kinetik Holdings and the 2-Year Treasury","Calls of the Day: Cisco Systems, Visa, Booking Holdings, Freeport-McMoRan and Star Bulk Carrier","Palo Alto Networks finally gets back on track — delivering solid earnings, outlook",Google IPO banker tracks two-decade journey from Silicon Valley upstart to $2 trillion,"Friday’s top analyst calls: Nvidia, Tesla, Microsoft, Alphabet, Fox, Walmart, Nike","Final Trades: Apple, Cisco, Kinetik Holdings and the 2-Year Treasury Calls of the Day: Cisco Systems, Visa, Booking Holdings, Freeport-McMoRan and Star Bulk Carrier Palo Alto Networks finally gets back on track — delivering solid earnings, outlook Google IPO banker tracks two-decade journey from Silicon Valley upstart to $2 trillion Friday’s top analyst calls: Nvidia, Tesla, Microsoft, Alphabet, Fox, Walmart, Nike",0,1,0,0,0,0
1.39B,"102,084,589",13.60B,-1,"17,403",139.87,Strong Buy,211.11,"Aug 26, 2024",PDD,PDD Holdings Inc.,194.25B,139.87,41.11B,-29.65%,-29.80%,-28.29%,-30.82%,-24.35%,Alibaba to allow payment through Tencent’s WeChat Pay on e-commerce apps,There is ‘lack of confidence’ in market on Chinese banks’ balance sheets,PDD just gave markets the latest warning on China’s consumer,Investors ‘left waiting’ for China’s market recovery: KraneShares CIO,CNBC Daily Open: Nvidia beating expectations isn’t enough,Alibaba to allow payment through Tencent’s WeChat Pay on e-commerce apps There is ‘lack of confidence’ in market on Chinese banks’ balance sheets PDD just gave markets the latest warning on China’s consumer Investors ‘left waiting’ for China’s market recovery: KraneShares CIO CNBC Daily Open: Nvidia beating expectations isn’t enough,0,1,0,0,0,0
1.11B,"6,928,933",8.71B,$3.40,"50,000",173.50,Buy,205.21,"Jul 31, 2024",QCOM,QUALCOMM Incorporated,193.28B,173.50,37.35B,3.81%,-7.14%,4.13%,-5.03%,+0.19%,AI gadgets have been a bust so far. Apple aims to change that,Qualcomm says it’s working on mixed reality smart glasses with Samsung and Google,Qualcomm ramps up challenge to Intel and AMD with latest AI PC chip,"CNBC Daily Open: Nvidia sinks and data’s weak, but stay strong",S&P 500 books back-to-back losses as Wall Street grapples with a rocky start to September,"AI gadgets have been a bust so far. Apple aims to change that Qualcomm says it’s working on mixed reality smart glasses with Samsung and Google Qualcomm ramps up challenge to Intel and AMD with latest AI PC chip CNBC Daily Open: Nvidia sinks and data’s weak, but stay strong S&P 500 books back-to-back losses as Wall Street grapples with a rocky start to September",1,0,0,1,0,0
913.05M,"5,531,968",5.28B,$5.20,"34,000",209.88,Hold,199.48,"Oct 22, 2024",TXN,Texas Instruments Incorporated,191.63B,209.88,16.09B,6.84%,6.35%,18.80%,+1.93%,+24.02%,Dividend stocks are expected to pop as the Fed lowers rates. How to choose them,"Intel has hired Morgan Stanley, other advisers for activist defense","Stocks making the biggest moves midday: Target, JD.com, Macy’s and more","Wednesday’s rapid-fire: Toll Brothers, Target, Macy’s, American Express, Texas Instruments",Jim Cramer says Toll Brothers can benefit from shortage of $1 million new homes,"Dividend stocks are expected to pop as the Fed lowers rates. How to choose them Intel has hired Morgan Stanley, other advisers for activist defense Stocks making the biggest moves midday: Target, JD.com, Macy’s and more Wednesday’s rapid-fire: Toll Brothers, Target, Macy’s, American Express, Texas Instruments Jim Cramer says Toll Brothers can benefit from shortage of $1 million new homes",0,0,0,1,1,0
537.33M,"1,716,778",3.13B,$9.00,"26,700",328.80,Buy,323.21,"Aug 6, 2024",AMGN,Amgen Inc.,176.67B,328.80,30.93B,0.16%,1.25%,10.42%,-0.90%,+22.06%,"Final Trades: Intuit, Amgen, the INDY and URNM",Eli Lilly CEO: People on GLP-1 weight loss drugs eat 800 calories less per day,Biden administration releases prices of 10 drugs in Medicare talks,These low-volatility stocks have a winning record and are attractively valued,Piper Sandler Sticks to Their Buy Rating for Amgen (AMGN),"Final Trades: Intuit, Amgen, the INDY and URNM Eli Lilly CEO: People on GLP-1 weight loss drugs eat 800 calories less per day Biden administration releases prices of 10 drugs in Medicare talks These low-volatility stocks have a winning record and are attractively valued Piper Sandler Sticks to Their Buy Rating for Amgen (AMGN)",1,1,0,0,0,0
279.55M,"1,907,131",2.96B,$4.16,"18,200",619.85,Buy,696.96,"Aug 22, 2024",INTU,Intuit Inc.,173.28B,619.85,16.29B,-1.71%,-1.85%,0.57%,-4.68%,-2.94%,A September trading strategy from Goldman that nets an 18% return on average,"Final Trades: Intuit, Amgen, the INDY and URNM","3-Stock Lunch: Uber, Intuit & Cava","Stocks making the biggest moves midday: Cava, Intuit, Ross Stores and more",Intuit CEO Sasan Goodarzi goes one-on-one with Jim Cramer,"A September trading strategy from Goldman that nets an 18% return on average Final Trades: Intuit, Amgen, the INDY and URNM 3-Stock Lunch: Uber, Intuit & Cava Stocks making the biggest moves midday: Cava, Intuit, Ross Stores and more Intuit CEO Sasan Goodarzi goes one-on-one with Jim Cramer",1,0,1,1,1,1
355.35M,"1,165,092",2.09B,-1,"13,676",486.55,Buy,444.14,"Oct 17, 2024",ISRG,"Intuitive Surgical, Inc.",172.90B,486.55,7.57B,3.58%,7.14%,24.32%,+8.46%,+24.16%,Friday’s big stock stories: What’s likely to move the market in the next trading session,Intuitive Surgical (ISRG) Receives a Buy from BTIG,Intuitive Surgical price target raised to $494 from $469 at BTIG,Intuitive Surgical price target raised to $560 from $512 at Citi,Intuitive Surgical price target raised to $515 from $475 at RBC Capital,Friday’s big stock stories: What’s likely to move the market in the next trading session Intuitive Surgical (ISRG) Receives a Buy from BTIG Intuitive Surgical price target raised to $494 from $469 at BTIG Intuitive Surgical price target raised to $560 from $512 at Citi Intuitive Surgical price target raised to $515 from $475 at RBC Capital,0,0,0,0,0,0
824.40M,"6,696,957",7.45B,$1.60,"34,000",202.67,Buy,225.15,"Aug 15, 2024",AMAT,"Applied Materials, Inc.",167.08B,202.67,26.85B,-0.95%,-10.41%,0.88%,-9.10%,-7.20%,These stocks have the most riding on Nvidia’s results with highest correlation,"Final Trades: Amazon, Applied Materials and Home Depot","Stocks making biggest moves midday: Rocket Lab, H&R Block and more",10 things to watch in the stock market Friday including more bullishness on Lilly,"Friday’s top analyst calls: Nvidia, Tesla, Microsoft, Alphabet, Fox, Walmart, Nike","These stocks have the most riding on Nvidia’s results with highest correlation Final Trades: Amazon, Applied Materials and Home Depot Stocks making biggest moves midday: Rocket Lab, H&R Block and more 10 things to watch in the stock market Friday including more bullishness on Lilly Friday’s top analyst calls: Nvidia, Tesla, Microsoft, Alphabet, Fox, Walmart, Nike",0,1,0,1,0,0
3.87B,"11,120,225",15.09B,$1.24,"186,000",39.82,Buy,47.02,"Oct 24, 2024",CMCSA,Comcast Corporation,154.20B,39.82,121.11B,1.51%,3.29%,-1.93%,-3.25%,-2.37%,Automakers are getting back into advertising’s biggest arena: NFL,Rising NFL valuations mean massive returns for owners,"NFL’s next big media rights payday is years off, subject to shifting industry","NBC ripped up its Olympics playbook for 2024 — so far, it paid off",A look at the behind-the-scenes business of Hollywood studio lot tours,"Automakers are getting back into advertising’s biggest arena: NFL Rising NFL valuations mean massive returns for owners NFL’s next big media rights payday is years off, subject to shifting industry NBC ripped up its Olympics playbook for 2024 — so far, it paid off A look at the behind-the-scenes business of Hollywood studio lot tours",0,0,1,1,0,0
1.05B,"5,991,731",424.00M,-1,"7,096",135.63,Buy,130.00,"Jul 31, 2024",ARM,Arm Holdings plc,142.14B,135.63,3.50B,5.22%,-12.13%,17.00%,-13.07%,+0.40%,"Thursday’s top analyst calls: Nvidia, Apple, Meta, Amazon, Arm and more","Thursday’s analyst calls: Buy the Nvidia dip, General Motors gets downgraded",Qualcomm ramps up challenge to Intel and AMD with latest AI PC chip,Nvidia $279 billion wipeout — the biggest in U.S. history — drags down global chip stocks,Slowdown in Nvidia’s sales growth spooks chip stocks in U.S. and Asia,"Thursday’s top analyst calls: Nvidia, Apple, Meta, Amazon, Arm and more Thursday’s analyst calls: Buy the Nvidia dip, General Motors gets downgraded Qualcomm ramps up challenge to Intel and AMD with latest AI PC chip Nvidia $279 billion wipeout — the biggest in U.S. history — drags down global chip stocks Slowdown in Nvidia’s sales growth spooks chip stocks in U.S. and Asia",1,1,1,1,1,1
1.25B,"978,653",4.52B,$2.04,"86,088",56.21,Buy,57.50,"Jul 25, 2024",SNY,Sanofi,140.76B,56.21,50.44B,5.61%,10.10%,14.98%,+8.30%,+18.75%,"Healthy Returns: The combination Covid, flu shot race is heating up",Nurix Therapeutics price target raised to $30 from $27 at Oppenheimer,Buy Rating Affirmed for Sanofi on Strong Clinical Trial Outcomes and Promising MS Drug Pipeline,Sanofi (SNY) Gets a Hold from TD Cowen,Deutsche Bank Sticks to Its Sell Rating for Sanofi (SNYNF),"Healthy Returns: The combination Covid, flu shot race is heating up Nurix Therapeutics price target raised to $30 from $27 at Oppenheimer Buy Rating Affirmed for Sanofi on Strong Clinical Trial Outcomes and Promising MS Drug Pipeline Sanofi (SNY) Gets a Hold from TD Cowen Deutsche Bank Sticks to Its Sell Rating for Sanofi (SNYNF)",1,1,1,1,1,1
649.67M,"1,717,257",5.78B,$4.32,"95,000",202.48,Buy,225.00,"Jul 25, 2024",HON,Honeywell International Inc.,131.55B,202.48,37.33B,2.92%,-0.87%,2.36%,+0.12%,+3.98%,"Calls of the Day: Oracle, Costco, Energy Transfer, Spotify and Honeywell",Jim Cramer’s top 10 things to watch in the stock market Friday,"Monday, August 26, 2024: Cramer explains why he’s ‘concerned’ ahead of this chipmaker’s earnings",Cramer updates his takes on all 32 portfolio stocks and grades earnings reports,Honeywell initiated with an Equal Weight at Morgan Stanley,"Calls of the Day: Oracle, Costco, Energy Transfer, Spotify and Honeywell Jim Cramer’s top 10 things to watch in the stock market Friday Monday, August 26, 2024: Cramer explains why he’s ‘concerned’ ahead of this chipmaker’s earnings Cramer updates his takes on all 32 portfolio stocks and grades earnings reports Honeywell initiated with an Equal Weight at Morgan Stanley",0,1,0,0,0,1
107.93M,"174,148",4.32B,-1,"13,450","1,199.12",Buy,"1,091.83","Aug 1, 2024",REGN,"Regeneron Pharmaceuticals, Inc.",129.43B,"1,199.12",13.49B,5.72%,10.10%,24.55%,+11.13%,+27.22%,Election 2024: Where To Put Your Money Ahead of the Vote,RBC Capital Keeps Their Buy Rating on Regeneron (REGN),"QQQ ETF Update, 8/29/2024 ",Regeneron announces EC approved Ordspono for adults,Ordspono™ (odronextamab) Approved in the European Union for the Treatment of Relapsed/Refractory Follicular Lymphoma and Diffuse Large B-cell Lymphoma,"Election 2024: Where To Put Your Money Ahead of the Vote RBC Capital Keeps Their Buy Rating on Regeneron (REGN) QQQ ETF Update, 8/29/2024  Regeneron announces EC approved Ordspono for adults Ordspono™ (odronextamab) Approved in the European Union for the Treatment of Relapsed/Refractory Follicular Lymphoma and Diffuse Large B-cell Lymphoma",1,1,0,0,0,1
33.52M,"217,547",5.03B,$35.00,"23,600","3,830.58",Buy,"4,063.00","Aug 1, 2024",BKNG,Booking Holdings Inc.,128.42B,"3,830.58",22.40B,8.20%,2.23%,8.03%,+4.93%,+8.23%,"Calls of the Day: Cisco Systems, Visa, Booking Holdings, Freeport-McMoRan and Star Bulk Carrier","Wednesday’s rapid fire: Dollar Tree, Zscaler, Hormel Foods, Booking Holdings, Linde","Wednesday’s top analyst calls: Nvidia, Apple, Microsoft, Amazon and more","Analyst calls: Super Micro gets a downgrade, aluminum products stock to pop 20%",Travelers are finally cracking under the pressure of high costs,"Calls of the Day: Cisco Systems, Visa, Booking Holdings, Freeport-McMoRan and Star Bulk Carrier Wednesday’s rapid fire: Dollar Tree, Zscaler, Hormel Foods, Booking Holdings, Linde Wednesday’s top analyst calls: Nvidia, Apple, Microsoft, Amazon and more Analyst calls: Super Micro gets a downgrade, aluminum products stock to pop 20% Travelers are finally cracking under the pressure of high costs",1,0,1,1,1,0
