Shares Number,Volume,Net Income,Dividends,Employee Amount,Previous Close,Analysts,Price Target,Earnings Date,Symbol,Market Cap,Stock Price,Revenue,MA20,MA50,MA200,20-Day Percent Change,100-Day Percent Change,News1,News2,News3,News4,News5,P/E Ratio,Dividend Yield (%),Market Cap to Revenue Ratio,Earnings Per Share (EPS),Revenue Per Employee,Target Price Difference (%)
,"1,239,512",7.23,6.57,42416.0,907.26,Buy,,"Oct 16, 2024",ASML,360.37,907.26,27.26,0.68%,-7.04%,0.20%,-5.19%,-9.33%,"Stocks making the biggest moves midday: Intel, Nio, Broadcom and more","Here are Friday’s biggest analyst calls: Nvidia, Nio, Apple, Tesla and more","Dutch take on U.S. export controls, controlling shipments of some ASML machines","European stocks end week down 2.5%, worst since early August slump",U.S. rolls out new chip-related export controls as China makes industry advances,,0.7241584551286291,13.21973587674248,,0.0006426820067898907,
,"1,302,657",7.09,,13000.0,686.73,Buy,687.67,"Oct 16, 2024",NFLX,294.72,686.73,36.3,7.02%,5.71%,19.15%,+8.83%,+7.49%,"Bill Gates wants to work another 20 to 30 years, like his friend Warren Buffett",Bill Gates says this is the No. 1 unsolvable problem facing today’s young people,NFL team sales are likely to stall as valuations soar,Rising NFL valuations mean massive returns for owners,"NFL’s next big media rights payday is years off, subject to shifting industry",,,8.119008264462812,,0.002792307692307692,0.13688057897571693
1.55,"2,350,366",6.44,1.48,89900.0,86.66,Buy,88.8,"Jul 25, 2024",AZN,268.01,86.66,49.13,5.33%,8.76%,21.74%,+10.37%,+29.52%,AstraZeneca says staff detained in China amid reports of drug-import investigation,India and Singapore agree to cooperate on chips as countries seek to strengthen partnership,India’s Modi expected to usher in new era of bilateral agreements in Singapore visit,Biden administration releases prices of 10 drugs in Medicare talks,These low-volatility stocks have a winning record and are attractively valued,20.85760869565217,1.707823678744519,5.455119071850193,4.15483870967742,0.0005464961067853171,2.4694207246711293
1.62,"49,697,991",1.35,,26000.0,154.98,Strong Buy,195.93,"Jul 30, 2024",AMD,250.83,154.98,23.28,5.50%,-2.35%,-4.52%,+1.30%,-14.12%,This semiconductor ETF just had its worst week since 2020. Here’s what’s next,Why Broadcom stock is tumbling after an earnings beat — and how to play the dip,"S&P 500 tumbles Friday to post worst week since 2023, Nasdaq drops 2% for worst week since 2022","These are the top stocks to own for rest of the year, per Wolfe Research",CNBC Daily Open: Rate cuts need to start before inflation’s 2%,185.97599999999997,,10.774484536082474,0.8333333333333334,0.0008953846153846154,26.422764227642286
,"1,385,944",5.08,,29945.0,558.3,Buy,599.31,"Sep 12, 2024",ADBE,247.55,558.3,20.43,4.70%,4.01%,3.97%,+1.61%,+15.55%,"Cramer’s week ahead: iPhone 16 launch, consumer price index and Oracle earnings",The latest jobs report leaves stocks in a tough spot heading into the new week,"Chips get crushed, and clues in the jobs report for Modelo brewer Constellation","These are the top stocks to own for rest of the year, per Wolfe Research","Wednesday’s top analyst calls: Nvidia, Apple, Microsoft, Amazon and more",,,12.116984826235928,,0.0006822507931207214,7.345513164965071
1.37,"3,437,038",9.52,5.42,318000.0,175.87,Buy,186.0,"Oct 8, 2024",PEP,241.57,175.87,92.05,0.83%,3.49%,3.13%,+0.72%,+2.83%,"88 corporate leaders endorse Harris, including CEOs of Yelp, Box",How the Cowboys went from losing $1 million a month to topping the NFL in value,Beyond Meat to launch new steak alternative as it focuses on health,Jim Cramer expresses regret over BlackRock and gives his views on 3 other stocks,Delta chief operations officer departing for another company,25.3090231092437,3.0818218001933246,2.624334600760456,6.948905109489051,0.0002894654088050314,5.759936316597484
1.17,"2,467,115",9.46,2.6,67000.0,198.58,Strong Buy,196.11,"Jul 31, 2024",TMUS,231.7,198.58,79.1,5.95%,10.82%,22.06%,+10.49%,+25.01%,This ETF’s 2024 gains nearly match the Nasdaq Composite — with less volatility,Cramer says a carrier war could boost demand for the expected AI-enabled iPhone,These stocks outperformed in August. Here’s where they’re expected to go,Top Wall Street analysts are upbeat about the potential of these 3 stocks ,These low-volatility stocks have a winning record and are attractively valued,24.56010570824524,1.3092960016114412,2.9292035398230087,8.085470085470087,0.001180597014925373,-1.2438312015308686
,"1,106,510",6.4,5.56,66323.0,465.74,Buy,487.1,"Oct 24, 2024",LIN,222.39,465.74,32.82,4.13%,5.96%,8.97%,+4.26%,+1.75%,"Wednesday’s rapid fire: Dollar Tree, Zscaler, Hormel Foods, Booking Holdings, Linde","Wednesday, August 28, 2024: Cramer says this industrial stock could be a ‘Harris trade’",Cramer updates his takes on all 32 portfolio stocks and grades earnings reports,Linde price target raised to $550 from $523 at Jefferies,Linde (LIN): New Sell Recommendation for This Basic Materials Giant,,1.193799115386267,6.7760511882998165,,0.0004948509566816942,4.58624983896595
4.03,"9,792,080",10.32,1.6,84900.0,50.74,Buy,56.06,"Aug 14, 2024",CSCO,204.42,50.74,53.8,6.42%,7.28%,4.39%,+2.89%,+2.68%,"Final Trades: Apple, Cisco, Kinetik Holdings and the 2-Year Treasury","Calls of the Day: Cisco Systems, Visa, Booking Holdings, Freeport-McMoRan and Star Bulk Carrier","Palo Alto Networks finally gets back on track — delivering solid earnings, outlook",Google IPO banker tracks two-decade journey from Silicon Valley upstart to $2 trillion,"Friday’s top analyst calls: Nvidia, Tesla, Microsoft, Alphabet, Fox, Walmart, Nike",19.81416666666667,3.1533307055577455,3.799628252788104,2.560794044665012,0.0006336866902237927,10.484824595979504
1.39,"102,084,589",13.6,,17403.0,139.87,Strong Buy,211.11,"Aug 26, 2024",PDD,194.25,139.87,41.11,-29.65%,-29.80%,-28.29%,-30.82%,-24.35%,Alibaba to allow payment through Tencent’s WeChat Pay on e-commerce apps,There is ‘lack of confidence’ in market on Chinese banks’ balance sheets,PDD just gave markets the latest warning on China’s consumer,Investors ‘left waiting’ for China’s market recovery: KraneShares CIO,CNBC Daily Open: Nvidia beating expectations isn’t enough,14.295536764705883,,4.72512770615422,9.784172661870503,0.002362236396023674,50.93300922284979
1.11,"6,928,933",8.71,3.4,50000.0,173.5,Buy,205.21,"Jul 31, 2024",QCOM,193.28,173.5,37.35,3.81%,-7.14%,4.13%,-5.03%,+0.19%,AI gadgets have been a bust so far. Apple aims to change that,Qualcomm says it’s working on mixed reality smart glasses with Samsung and Google,Qualcomm ramps up challenge to Intel and AMD with latest AI PC chip,"CNBC Daily Open: Nvidia sinks and data’s weak, but stay strong",S&P 500 books back-to-back losses as Wall Street grapples with a rocky start to September,22.110792192881746,1.9596541786743515,5.1748326639892905,7.846846846846847,0.000747,18.276657060518737
,"5,531,968",5.28,5.2,34000.0,209.88,Hold,199.48,"Oct 22, 2024",TXN,191.63,209.88,16.09,6.84%,6.35%,18.80%,+1.93%,+24.02%,Dividend stocks are expected to pop as the Fed lowers rates. How to choose them,"Intel has hired Morgan Stanley, other advisers for activist defense","Stocks making the biggest moves midday: Target, JD.com, Macy’s and more","Wednesday’s rapid-fire: Toll Brothers, Target, Macy’s, American Express, Texas Instruments",Jim Cramer says Toll Brothers can benefit from shortage of $1 million new homes,,2.477606251191157,11.909881914232443,,0.00047323529411764703,-4.955212502382317
,"1,716,778",3.13,9.0,26700.0,328.8,Buy,323.21,"Aug 6, 2024",AMGN,176.67,328.8,30.93,0.16%,1.25%,10.42%,-0.90%,+22.06%,"Final Trades: Intuit, Amgen, the INDY and URNM",Eli Lilly CEO: People on GLP-1 weight loss drugs eat 800 calories less per day,Biden administration releases prices of 10 drugs in Medicare talks,These low-volatility stocks have a winning record and are attractively valued,Piper Sandler Sticks to Their Buy Rating for Amgen (AMGN),,2.7372262773722627,5.711930164888457,,0.0011584269662921348,-1.700121654501226
,"1,907,131",2.96,4.16,18200.0,619.85,Buy,696.96,"Aug 22, 2024",INTU,173.28,619.85,16.29,-1.71%,-1.85%,0.57%,-4.68%,-2.94%,A September trading strategy from Goldman that nets an 18% return on average,"Final Trades: Intuit, Amgen, the INDY and URNM","3-Stock Lunch: Uber, Intuit & Cava","Stocks making the biggest moves midday: Cava, Intuit, Ross Stores and more",Intuit CEO Sasan Goodarzi goes one-on-one with Jim Cramer,,0.671130112123901,10.637200736648252,,0.000895054945054945,12.44010647737356
,"1,165,092",2.09,,13676.0,486.55,Buy,444.14,"Oct 17, 2024",ISRG,172.9,486.55,7.57,3.58%,7.14%,24.32%,+8.46%,+24.16%,Friday’s big stock stories: What’s likely to move the market in the next trading session,Intuitive Surgical (ISRG) Receives a Buy from BTIG,Intuitive Surgical price target raised to $494 from $469 at BTIG,Intuitive Surgical price target raised to $560 from $512 at Citi,Intuitive Surgical price target raised to $515 from $475 at RBC Capital,,,22.840158520475562,,0.0005535244223457152,-8.71647312711952
,"6,696,957",7.45,1.6,34000.0,202.67,Buy,225.15,"Aug 15, 2024",AMAT,167.08,202.67,26.85,-0.95%,-10.41%,0.88%,-9.10%,-7.20%,These stocks have the most riding on Nvidia’s results with highest correlation,"Final Trades: Amazon, Applied Materials and Home Depot","Stocks making biggest moves midday: Rocket Lab, H&R Block and more",10 things to watch in the stock market Friday including more bullishness on Lilly,"Friday’s top analyst calls: Nvidia, Tesla, Microsoft, Alphabet, Fox, Walmart, Nike",,0.7894606996595452,6.222718808193669,,0.0007897058823529412,11.091922830216618
3.87,"11,120,225",15.09,1.24,186000.0,39.82,Buy,47.02,"Oct 24, 2024",CMCSA,154.2,39.82,121.11,1.51%,3.29%,-1.93%,-3.25%,-2.37%,Automakers are getting back into advertising’s biggest arena: NFL,Rising NFL valuations mean massive returns for owners,"NFL’s next big media rights payday is years off, subject to shifting industry","NBC ripped up its Olympics playbook for 2024 — so far, it paid off",A look at the behind-the-scenes business of Hollywood studio lot tours,10.212286282306163,3.11401305876444,1.273222690116423,3.89922480620155,0.0006511290322580646,18.081366147664497
1.05,"5,991,731",,,7096.0,135.63,Buy,130.0,"Jul 31, 2024",ARM,142.14,135.63,3.5,5.22%,-12.13%,17.00%,-13.07%,+0.40%,"Thursday’s top analyst calls: Nvidia, Apple, Meta, Amazon, Arm and more","Thursday’s analyst calls: Buy the Nvidia dip, General Motors gets downgraded",Qualcomm ramps up challenge to Intel and AMD with latest AI PC chip,Nvidia $279 billion wipeout — the biggest in U.S. history — drags down global chip stocks,Slowdown in Nvidia’s sales growth spooks chip stocks in U.S. and Asia,,,40.61142857142857,,0.0004932356257046223,-4.150999041509987
1.25,"978,653",4.52,2.04,86088.0,56.21,Buy,57.5,"Jul 25, 2024",SNY,140.76,56.21,50.44,5.61%,10.10%,14.98%,+8.30%,+18.75%,"Healthy Returns: The combination Covid, flu shot race is heating up",Nurix Therapeutics price target raised to $30 from $27 at Oppenheimer,Buy Rating Affirmed for Sanofi on Strong Clinical Trial Outcomes and Promising MS Drug Pipeline,Sanofi (SNY) Gets a Hold from TD Cowen,Deutsche Bank Sticks to Its Sell Rating for Sanofi (SNYNF),15.544800884955754,3.629247464863903,2.790642347343378,3.6159999999999997,0.0005859120899544652,2.2949653086639374
,"1,717,257",5.78,4.32,95000.0,202.48,Buy,225.0,"Jul 25, 2024",HON,131.55,202.48,37.33,2.92%,-0.87%,2.36%,+0.12%,+3.98%,"Calls of the Day: Oracle, Costco, Energy Transfer, Spotify and Honeywell",Jim Cramer’s top 10 things to watch in the stock market Friday,"Monday, August 26, 2024: Cramer explains why he’s ‘concerned’ ahead of this chipmaker’s earnings",Cramer updates his takes on all 32 portfolio stocks and grades earnings reports,Honeywell initiated with an Equal Weight at Morgan Stanley,,2.1335440537337025,3.523975354942406,,0.0003929473684210526,11.122086131963655
,"174,148",4.32,,13450.0,,Buy,,"Aug 1, 2024",REGN,129.43,,13.49,5.72%,10.10%,24.55%,+11.13%,+27.22%,Election 2024: Where To Put Your Money Ahead of the Vote,RBC Capital Keeps Their Buy Rating on Regeneron (REGN),"QQQ ETF Update, 8/29/2024 ",Regeneron announces EC approved Ordspono for adults,Ordspono™ (odronextamab) Approved in the European Union for the Treatment of Relapsed/Refractory Follicular Lymphoma and Diffuse Large B-cell Lymphoma,,,9.594514455151964,,0.0010029739776951673,
,"217,547",5.03,35.0,23600.0,,Buy,,"Aug 1, 2024",BKNG,128.42,,22.4,8.20%,2.23%,8.03%,+4.93%,+8.23%,"Calls of the Day: Cisco Systems, Visa, Booking Holdings, Freeport-McMoRan and Star Bulk Carrier","Wednesday’s rapid fire: Dollar Tree, Zscaler, Hormel Foods, Booking Holdings, Linde","Wednesday’s top analyst calls: Nvidia, Apple, Microsoft, Amazon and more","Analyst calls: Super Micro gets a downgrade, aluminum products stock to pop 20%",Travelers are finally cracking under the pressure of high costs,,,5.733035714285714,,0.0009491525423728813,
,"762,054",,,5400.0,481.24,Buy,495.82,"Aug 1, 2024",VRTX,124.21,481.24,10.34,-0.02%,-0.25%,11.82%,-1.21%,+20.42%,"Lightning Round: Chipotle is likely done going down, says Jim Cramer",Cramer’s Lightning Round: Builders FirstSource ‘can go higher’,"Ride out future market volatility with all-weather stocks, Bank of America says",Evercore ISI Reaffirms Their Buy Rating on Vertex Pharmaceuticals (VRTX),Vertex Pharmaceuticals: A Cautious Hold Amidst Mixed Financial Signals and Pipeline Uncertainty,,,12.012572533849129,,0.0019148148148148147,3.029673343861687
1.11,"24,264,183",-1.54,0.46,43000.0,102.85,Strong Buy,157.42,"Sep 25, 2024",MU,114.04,102.85,21.37,-1.96%,-16.75%,-5.68%,-13.62%,-23.24%,Wednesday’s stock stories: What’s likely to move the market in the next session,"Three-Stock Lunch: Boeing, Micron, Redfin","Stocks making the biggest moves midday: Cleanspark, Vaxcyte, Unity Software and more","Dow closes 600 points lower to begin September, S&P 500 drops 2%",Morgan Stanley is bullish on 3 stocks from a corner of the semiconductor sector,-74.13214285714287,0.44725328147788046,5.336452971455311,-1.3873873873873872,0.0004969767441860465,53.05785123966942
,"3,144,385",2.58,,13948.0,350.75,Buy,371.26,"Aug 19, 2024",PANW,113.57,350.75,8.03,5.91%,6.03%,13.80%,+7.92%,+30.27%,"Palo Alto CEO on CrowdStrike fallout, IBM deal and cybersecurity issues",These stocks typically have the best and worst Septembers,Jim Cramer’s top 10 things to watch in the stock market Wednesday,Can tech stocks go up with rates coming down? Here’s why we think so,It’s been nearly a year since we took profits in Lilly. We’re due for another trim,,,14.14321295143213,,0.0005757097791798107,5.847469707769064
,"2,528,087",1.66,3.68,26000.0,228.39,Buy,243.52,"Aug 21, 2024",ADI,113.39,228.39,9.7,6.36%,2.51%,13.40%,-1.82%,+16.64%,These stocks have the most riding on Nvidia’s results with highest correlation,"Retail earnings lift other boats — plus, stocks take negative jobs update in stride","Stocks making the biggest moves midday: Target, JD.com, Macy’s and more","S&P 500, Nasdaq close higher as Fed minutes lift investors’ hopes for a September rate cut","Why we’ve raised cash into the rally — plus, earnings insights on 2 of our stocks",,1.6112789526686808,11.689690721649486,,0.0003730769230769231,6.624633302684016
,"1,109,642",3.83,8.0,17200.0,847.37,Strong Buy,983.19,"Oct 16, 2024",LRCX,110.48,847.37,14.91,-1.41%,-13.60%,-7.39%,-12.61%,-16.88%,"Lightning Round: Buy Lam Research slowly, not all at once",Cramer’s Lightning Round: ‘I like’ GE Vernova,Trade Tracker: Stephanie Link trims Lam Research,Lam Research Appoints New Board Members with Diverse Expertise,Unusually active option classes on open August 30th,,0.9440976196938764,7.409792085848424,,0.000866860465116279,16.028417338352792
,"776,708",3.75,5.6,64000.0,269.6,Hold,262.82,"Jul 31, 2024",ADP,109.94,269.6,19.2,4.33%,9.37%,12.53%,+3.83%,+11.37%,Salesforce CEO explains how customers use new platform ‘Agentforce’,Jackson Hole technical trade: BTIG says these stocks are buys ahead of Powell speech,ADP price target raised to $285 from $250 at JPMorgan,,,,2.077151335311572,5.726041666666667,,0.0003,-2.5148367952522364
,"667,647",2.76,5.8,15230.0,817.84,Buy,805.55,"Jul 24, 2024",KLAC,109.94,817.84,9.81,4.70%,0.96%,18.04%,-2.28%,+17.78%,"Stocks making the biggest moves midday: Intel, Nio, Broadcom and more",Wednesday’s stock stories: What’s likely to move the market in the next session,"Stocks making the biggest moves midday: Cleanspark, Vaxcyte, Unity Software and more","Dow closes 600 points lower to begin September, S&P 500 drops 2%",KLA Corp. raises quarterly dividend 17% to $1.70 from $1.45 per share,,0.7091851706935342,11.206931702344546,,0.000644123440577807,-1.50273892203855
1.13,"10,812,035",4.07,2.28,381000.0,94.02,Buy,99.18,"Jul 30, 2024",SBUX,106.54,94.02,36.48,16.21%,23.43%,12.10%,+22.26%,+9.73%,"88 corporate leaders endorse Harris, including CEOs of Yelp, Box","4 simple steps to ‘make yourself indispensable’ at work, says bestselling author",Best Buy is the stock of the summer — plus 2 more encouraging economic updates,These stocks outperformed in August. Here’s where they’re expected to go,Jim Cramer: Starbucks’ stock will shoot higher under incoming CEO Brian Niccol,26.10383292383292,2.4250159540523293,2.9205043859649127,3.6017699115044253,9.574803149606298e-05,5.4881940012763355
,"181,637",1.4,,58313.0,,Strong Buy,,"Aug 1, 2024",MELI,101.41,,17.11,8.30%,16.94%,24.94%,+19.55%,+32.86%,Cantor Fitzgerald Internet analyst to hold an analyst/industry conference call,"MercadoLibre initiated with an Overweight, called a ‘Top Pick’ at Cantor","MercadoLibre price target raised to $2,350 from $2,300 at Susquehanna","MercadoLibre price target raised to $2,250 from $2,100 at Jefferies",StockTok: Meta revises limits on ad data to assuage CMA scrutiny,,,5.926943308007013,,0.00029341656234458866,
1.24,"2,897,238",1.05,3.08,18000.0,76.72,Buy,81.81,"Aug 8, 2024",GILD,95.52,76.72,27.81,2.48%,6.77%,5.30%,+3.29%,+12.91%,Gilead alleges it uncovered a drug-counterfeiting operation at 2 NYC pharmacies,Gilead Sciences: A Balanced Hold Rating Amidst Growth Potential and Market Challenges,Gilead price target raised to $74 from $72 at RBC Capital,Gilead Sciences (GILD) Gets a Hold from RBC Capital,Gilead put volume heavy and directionally bearish,90.60266666666666,4.014598540145985,3.434735706580367,0.8467741935483871,0.001545,6.634515119916584
1.34,"3,498,847",3.95,1.88,91000.0,71.23,Strong Buy,79.59,"Jul 30, 2024",MDLZ,95.15,71.23,35.98,1.86%,5.19%,1.42%,+4.24%,+4.79%,"Likely policies under a Harris presidency and the stocks impacted, according to Jefferies",Cheap stocks to buy for the long term during the volatility,Turn to these dividend growers as the Fed cuts rates,"Jim Cramer prefers Mondelez over this food peer — plus, his take on 4 more stocks",Jim Cramer’s top 10 things to watch in the stock market Monday,24.164101265822787,2.639337357854836,2.644524735964425,2.9477611940298507,0.00039538461538461537,11.736627825354484
4.28,"57,358,323",,0.5,124800.0,20.54,Hold,32.96,"Aug 1, 2024",INTC,87.83,20.54,55.12,-8.05%,-28.46%,-46.23%,-36.21%,-49.34%,This semiconductor ETF just had its worst week since 2020. Here’s what’s next,"Stocks making the biggest moves midday: Intel, Nio, Broadcom and more",Jim Cramer’s top 10 things to watch in the stock market Friday,Nvidia says it didn’t receive antitrust subpoena from DOJ,"Cramer says ‘don’t be a hero’ on Nvidia, downplays AI spending concerns and DOJ probe",,2.4342745861733204,1.593432510885341,,0.00044166666666666665,60.467380720545286
,"916,354",1.5,,20300.0,539.39,Strong Buy,641.0,"Aug 21, 2024",SNPS,82.86,539.39,6.48,-1.72%,-8.24%,-5.97%,-8.66%,-11.38%,Jim Cramer says these 2 stocks show investors are nervous about Nvidia’s earnings,Cramer’s Stop Trading: Synopsys,Cramer looks at reasons for the market decline and provides new views on 3 stocks,Synopsys CEO on Q3 earnings,"This little-known chip design stock benefits from AI, Bank of America says",,,12.787037037037036,,0.00031921182266009853,18.837946569272702
,"236,586",1.57,1.56,46500.0,788.5,Buy,740.62,"Sep 24, 2024",CTAS,79.46,788.5,9.6,4.58%,8.06%,22.38%,+4.43%,+18.42%,"QQQ ETF Update, 9/6/2024 ","QQQ ETF Update, 9/4/2024 ","QQQ ETF Update, 8/29/2024 ","QQQ ETF Update, 8/27/2024 ","QQQ ETF Update, 8/23/2024 ",,0.19784400760938492,8.277083333333334,,0.0002064516129032258,-6.072289156626506
,"283,971",1.04,17.04,13151.0,827.96,Buy,863.36,"Aug 7, 2024",EQIX,78.61,827.96,8.02,0.79%,3.68%,2.45%,+2.97%,+3.73%,Turn to these dividend growers as the Fed cuts rates,"Equinix CFO Taylor sells 1,500 common shares","Equinix price target lowered to $900 from $1,000 at Argus",Equinix (EQIX) Receives a Hold from Morgan Stanley,Scotiabank Reaffirms Their Buy Rating on Equinix (EQIX),,2.0580704381854193,9.801745635910224,,0.0006098395559273059,4.275568868061256
,"1,944,545",1.06,,11200.0,273.9,Strong Buy,334.56,"Jul 22, 2024",CDNS,75.0,273.9,4.16,0.28%,-6.87%,-6.74%,-1.71%,-14.59%,Jim Cramer says these 2 stocks show investors are nervous about Nvidia’s earnings,"Novartis upgrade, Intel downgrade part of Erste global equity changes",Cadence Design downgraded to Hold from Buy at Erste Group,Cadence Design Strengthens Financial Strategy with New Credit Facility,"CDNS, DDOG, FSLR: Which Strong Buy-Rated Tech Stock’s a Better Buy?",,,18.028846153846153,,0.00037142857142857143,22.146768893756857
,"1,636,056",3.26,4.6,3565.0,207.05,Hold,213.69,"Oct 23, 2024",CME,74.56,207.05,5.79,3.85%,6.23%,2.61%,+11.05%,+1.91%,"Final Trades: CME Group, Chubb, Berkshire Hathaway and the IHI","S&P 500, Nasdaq snap eight-day winning streak as rebound rally pauses",Buy/Sell: Wall Street’s top 10 stock calls this week,"CME Group to launch options on BCOM futures on September 23, pending review",Analysts Have Conflicting Sentiments on These Financial Companies: Voya Financial (VOYA) and CME Group (CME),,2.2216855831924653,12.877374784110536,,0.0016241234221598879,3.206954841825639
